CountryName,Region,ThirdWorld,LifeExpectancy1990,LifeExpectancy2017,MortalityInfantRate1990,MortalityInfantRate2017,Physician1990,Physician2017,BirthRate1990,BirthRate2017,PopAge15-64Rate1990,PopAge15-64Rate2017,PopAgeOver65Rate1990,PopAgeOver65Rate2017
Lao PDR,Southeast Asia,1,53.364,67.277,105.4,38.9,0.234,0.3726,42.902,23.955,52.2075993454929,63.1255128156266,3.52725108912305,3.99155189064919
Latvia,Northern Europe,0,69.27317073170732,74.62926829268294,13.2,3.6,4.6934,3.1905,14.2,10.7,66.6678801804057,64.5904329718102,11.875295324832,19.833304033577
Libya,Africa,0,68.503,72.52,35.6,10.6,1.071,2.0905,29.381,19.38,55.1403183610377,67.1314280921066,3.11164184056433,4.32917411518854
Lithuania,Northern Europe,0,71.16073170731708,75.48048780487807,11.9,3.6,4.027,4.8257,15.4,10.1,66.5564043630539,65.9715598503416,10.8785766368554,19.3009523394487
Luxembourg,Western Europe,0,75.01041463414634,82.09512195121953,7.2,2.3,2.0,3.009,12.9,10.4,69.2470487779963,69.8281833386832,13.3973823374569,14.1067054112956
Maldives,South Asia,0,61.529,78.325,63.0,7.6,0.07,3.7228,41.126,14.891,49.6957312755985,75.8266485630598,2.78950340117764,3.77838928932599
Mauritania,Africa,1,59.688,64.464,71.4,52.6,0.063,0.1847,40.212,34.132,52.0572213379632,56.6067338070364,3.07700853247186,3.13071356685355
Mauritius,Africa,0,69.40487804878049,74.51463414634146,20.0,13.2,0.811,2.3147,21.3,10.7,66.3048790189683,70.6909218591711,4.70949020142669,10.951689167014
Mexico,North America,0,70.866,74.947,36.2,13.0,1.0,2.3827,28.802,17.918,56.4936616851513,66.0200045642909,4.29972400839178,7.04077048486791
Moldova,Eastern Europe,0,67.643,71.717,27.5,12.9,3.547,3.2066,18.574,10.274,63.7923988744639,73.2747425661702,8.29155179032996,10.909198844048
